Year,Value
1979,1.54298
1980,2.88573
1981,3.94516
1982,5.44956
1983,5.58361
1984,7.09801
1985,6.28915
1986,7.159
1987,7.77049
1988,10.20641
1989,15.75613
1990,6.88648
1991,4.98809
1992,2.75723
1993,2.3937
1994,2.75607
1995,2.14548
1996,2.63729
1997,6.69004
1998,4.71468
1999,2.55342
2000,5.56151
2001,27.57247
2002,72.98752
2003,29.54048
2004,7.77562
2005,26.8841
2009,1.6796
2010,3.03853
2011,4.41833
2012,6.46114
2013,8.18576
2014,12.03061
2015,10.89805
2016,13.8467
2017,21.31376
2018,56.48452
2019,23.82488
2020,95.75868
