Year,SERIES,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2000,NV_IND_MANF,PT,2023-05-22,14.83
2001,NV_IND_MANF,PT,2023-05-22,13.9
2002,NV_IND_MANF,PT,2023-05-22,13.26
2003,NV_IND_MANF,PT,2023-05-22,13.2
2004,NV_IND_MANF,PT,2023-05-22,12.49
2005,NV_IND_MANF,PT,2023-05-22,13.41
2006,NV_IND_MANF,PT,2023-05-22,13.48
2007,NV_IND_MANF,PT,2023-05-22,13.23
2008,NV_IND_MANF,PT,2023-05-22,12.95
2009,NV_IND_MANF,PT,2023-05-22,10.26
2010,NV_IND_MANF,PT,2023-05-22,14.85
2011,NV_IND_MANF,PT,2023-05-22,14.8
2012,NV_IND_MANF,PT,2023-05-22,13.37
2013,NV_IND_MANF,PT,2023-05-22,13.03
2014,NV_IND_MANF,PT,2023-05-22,12.08
2015,NV_IND_MANF,PT,2023-05-22,11.89
2016,NV_IND_MANF,PT,2023-05-22,11.86
2017,NV_IND_MANF,PT,2023-05-22,11.48
2018,NV_IND_MANF,PT,2023-05-22,11.12
2019,NV_IND_MANF,PT,2023-05-22,10.56
2020,NV_IND_MANF,PT,2023-05-22,9.09
2021,NV_IND_MANF,PT,2023-05-22,8.65
2022,NV_IND_MANF,PT,2023-05-22,8.32
2000,NV_IND_MANF_CD,PT,2023-05-22,11.37
2001,NV_IND_MANF_CD,PT,2023-05-22,10.83
2002,NV_IND_MANF_CD,PT,2023-05-22,9.04
2003,NV_IND_MANF_CD,PT,2023-05-22,11.14
2004,NV_IND_MANF_CD,PT,2023-05-22,10.86
2005,NV_IND_MANF_CD,PT,2023-05-22,5.03
2006,NV_IND_MANF_CD,PT,2023-05-22,22.9
2007,NV_IND_MANF_CD,PT,2023-05-22,6.45
2008,NV_IND_MANF_CD,PT,2023-05-22,10.03
2009,NV_IND_MANF_CD,PT,2023-05-22,11.03
2010,NV_IND_MANF_CD,PT,2023-05-22,9.21
2011,NV_IND_MANF_CD,PT,2023-05-22,9.17
2012,NV_IND_MANF_CD,PT,2023-05-22,14.04
2013,NV_IND_MANF_CD,PT,2023-05-22,12.92
2014,NV_IND_MANF_CD,PT,2023-05-22,12.59
2015,NV_IND_MANF_CD,PT,2023-05-22,11.89
2016,NV_IND_MANF_CD,PT,2023-05-22,11.6
2017,NV_IND_MANF_CD,PT,2023-05-22,14.03
2018,NV_IND_MANF_CD,PT,2023-05-22,13.68
2019,NV_IND_MANF_CD,PT,2023-05-22,14.22
2020,NV_IND_MANF_CD,PT,2023-05-22,15.7
2021,NV_IND_MANF_CD,PT,2023-05-22,12.44
2000,NV_IND_MANFPC,CON_USD,2023-05-22,129.73
2001,NV_IND_MANFPC,CON_USD,2023-05-22,120.61
2002,NV_IND_MANFPC,CON_USD,2023-05-22,107.57
2003,NV_IND_MANFPC,CON_USD,2023-05-22,98.3
2004,NV_IND_MANFPC,CON_USD,2023-05-22,89.04
2005,NV_IND_MANFPC,CON_USD,2023-05-22,91.22
2006,NV_IND_MANFPC,CON_USD,2023-05-22,87.6
2007,NV_IND_MANFPC,CON_USD,2023-05-22,82.36
2008,NV_IND_MANFPC,CON_USD,2023-05-22,76.21
2009,NV_IND_MANFPC,CON_USD,2023-05-22,95.33
2010,NV_IND_MANFPC,CON_USD,2023-05-22,163.04
2011,NV_IND_MANFPC,CON_USD,2023-05-22,182.97
2012,NV_IND_MANFPC,CON_USD,2023-05-22,189.27
2013,NV_IND_MANFPC,CON_USD,2023-05-22,184.11
2014,NV_IND_MANFPC,CON_USD,2023-05-22,170.95
2015,NV_IND_MANFPC,CON_USD,2023-05-22,167.67
2016,NV_IND_MANFPC,CON_USD,2023-05-22,165.13
2017,NV_IND_MANFPC,CON_USD,2023-05-22,163.89
2018,NV_IND_MANFPC,CON_USD,2023-05-22,162.84
2019,NV_IND_MANFPC,CON_USD,2023-05-22,142.39
2020,NV_IND_MANFPC,CON_USD,2023-05-22,113.72
2021,NV_IND_MANFPC,CON_USD,2023-05-22,112.75
2022,NV_IND_MANFPC,CON_USD,2023-05-22,109.53
2004,SL_TLF_MANF,PT,2023-03-13,5.9
2011,SL_TLF_MANF,PT,2023-03-13,5.0
2014,SL_TLF_MANF,PT,2023-03-13,4.03
2019,SL_TLF_MANF,PT,2023-03-13,4.41
2019,SL_TLF_MANF_19ICLS,PT,2023-03-13,7.55
