Year,SERIES,CUST_BREAKDOWN,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE,Value
2010,EN_LND_CNSPOP,C01,Bindura,2023-07-07,1.7824
2020,EN_LND_CNSPOP,C01,Bindura,2023-07-07,3.4934
2010,EN_LND_CNSPOP,C03,Chegutu,2023-07-07,1.4429
2020,EN_LND_CNSPOP,C03,Chegutu,2023-07-07,0.665
2010,EN_LND_CNSPOP,C04,Chinhoyi,2023-07-07,2.3727
2020,EN_LND_CNSPOP,C04,Chinhoyi,2023-07-07,2.64
2010,EN_LND_CNSPOP,C05,Harare,2023-07-07,3.6427
2020,EN_LND_CNSPOP,C05,Harare,2023-07-07,2.7802
2010,EN_LND_CNSPOP,C06,Masvingo,2023-07-07,2.313
2020,EN_LND_CNSPOP,C06,Masvingo,2023-07-07,5.3638
2010,EN_LND_CNSPOP,C08,Mutare,2023-07-07,1.9208
2020,EN_LND_CNSPOP,C08,Mutare,2023-07-07,8.5287
2010,EN_LND_CNSPOP,C09,Zvishavane,2023-07-07,8.7227
2020,EN_LND_CNSPOP,C09,Zvishavane,2023-07-07,1.5951
2021,SG_DMK_PARLMP_LC,,,2023-03-03,0.57721
2022,SG_DMK_PARLMP_LC,,,2023-03-03,0.5539
2023,SG_DMK_PARLMP_LC,,,2023-03-03,0.54891
2021,SG_DMK_PARLMP_UC,,,2023-03-03,0.77627
2022,SG_DMK_PARLMP_UC,,,2023-03-03,0.78347
2023,SG_DMK_PARLMP_UC,,,2023-03-03,0.77407
