Year,ACTIVITY,Value
2000,,2.17
2001,,1.91
2002,,1.64
2003,,1.61
2004,,1.67
2005,,1.75
2006,,1.8
2007,,1.6
2008,,1.88
2009,,2.58
2010,,3.19
2011,,3.71
2012,,4.4
2013,,4.6
2014,,4.7
2015,,4.8
2016,,4.91
2017,,5.21
2018,,4.83
2019,,4.44
2020,,4.47
2000,ISIC4_A01_A0210_A0322,0.06
2001,ISIC4_A01_A0210_A0322,0.07
2002,ISIC4_A01_A0210_A0322,0.06
2003,ISIC4_A01_A0210_A0322,0.05
2004,ISIC4_A01_A0210_A0322,0.02
2005,ISIC4_A01_A0210_A0322,0.02
2006,ISIC4_A01_A0210_A0322,0.03
2007,ISIC4_A01_A0210_A0322,0.05
2008,ISIC4_A01_A0210_A0322,0.04
2009,ISIC4_A01_A0210_A0322,0.04
2010,ISIC4_A01_A0210_A0322,0.04
2011,ISIC4_A01_A0210_A0322,0.04
2012,ISIC4_A01_A0210_A0322,0.04
2013,ISIC4_A01_A0210_A0322,0.04
2014,ISIC4_A01_A0210_A0322,0.05
2015,ISIC4_A01_A0210_A0322,0.05
2016,ISIC4_A01_A0210_A0322,0.04
2017,ISIC4_A01_A0210_A0322,0.05
2018,ISIC4_A01_A0210_A0322,0.04
2019,ISIC4_A01_A0210_A0322,0.04
2020,ISIC4_A01_A0210_A0322,0.04
2000,ISIC4_BTFXE,5.51
2001,ISIC4_BTFXE,4.67
2002,ISIC4_BTFXE,3.52
2003,ISIC4_BTFXE,4.4
2004,ISIC4_BTFXE,6.22
2005,ISIC4_BTFXE,10.22
2006,ISIC4_BTFXE,15.05
2007,ISIC4_BTFXE,9.83
2008,ISIC4_BTFXE,6.23
2009,ISIC4_BTFXE,11.84
2010,ISIC4_BTFXE,14.87
2011,ISIC4_BTFXE,19.94
2012,ISIC4_BTFXE,32.08
2013,ISIC4_BTFXE,35.42
2014,ISIC4_BTFXE,41.41
2015,ISIC4_BTFXE,47.78
2016,ISIC4_BTFXE,48.62
2017,ISIC4_BTFXE,49.21
2018,ISIC4_BTFXE,50.13
2019,ISIC4_BTFXE,47.43
2020,ISIC4_BTFXE,47.29
2000,ISIC4_GTT,12.41
2001,ISIC4_GTT,10.85
2002,ISIC4_GTT,9.59
2003,ISIC4_GTT,9.31
2004,ISIC4_GTT,9.33
2005,ISIC4_GTT,8.31
2006,ISIC4_GTT,6.67
2007,ISIC4_GTT,8.14
2008,ISIC4_GTT,11.85
2009,ISIC4_GTT,14.37
2010,ISIC4_GTT,17.16
2011,ISIC4_GTT,18.68
2012,ISIC4_GTT,19.66
2013,ISIC4_GTT,20.13
2014,ISIC4_GTT,19.63
2015,ISIC4_GTT,19.46
2016,ISIC4_GTT,21.09
2017,ISIC4_GTT,27.19
2018,ISIC4_GTT,21.59
2019,ISIC4_GTT,19.68
2020,ISIC4_GTT,19.86
