Year,SERIES,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2017,VC_HTF_DETV,,,NUMBER,2023-03-21,
2018,VC_HTF_DETV,,,NUMBER,2023-03-21,
2019,VC_HTF_DETV,,,NUMBER,2023-03-21,
2020,VC_HTF_DETV,,,NUMBER,2023-03-21,
2020,VC_HTF_DETV,,Y_GE18,NUMBER,2023-03-21,
2020,VC_HTF_DETV,,Y0T17,NUMBER,2023-03-21,
2020,VC_HTF_DETV,F,,NUMBER,2023-03-21,
2020,VC_HTF_DETV,F,Y_GE18,NUMBER,2023-03-21,
2020,VC_HTF_DETV,F,Y0T17,NUMBER,2023-03-21,
2020,VC_HTF_DETV,M,,NUMBER,2023-03-21,
2020,VC_HTF_DETV,M,Y_GE18,NUMBER,2023-03-21,
2020,VC_HTF_DETV,M,Y0T17,NUMBER,2023-03-21,
2019,VC_HTF_DETVFL,,,NUMBER,2023-03-20,
2020,VC_HTF_DETVFL,,,NUMBER,2023-03-20,
2020,VC_HTF_DETVFL,F,Y_GE18,NUMBER,2023-03-20,
2020,VC_HTF_DETVFL,F,Y0T17,NUMBER,2023-03-20,
2020,VC_HTF_DETVFL,M,Y_GE18,NUMBER,2023-03-20,
2020,VC_HTF_DETVFL,M,Y0T17,NUMBER,2023-03-20,
2019,VC_HTF_DETVFLR,,,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVFLR,,,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVFLR,F,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVFLR,F,Y0T17,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVFLR,M,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVFLR,M,Y0T17,PER_100000_POP,2023-03-20,
2018,VC_HTF_DETVOG,,,NUMBER,2023-03-27,
2020,VC_HTF_DETVOG,,,NUMBER,2023-03-27,
2020,VC_HTF_DETVOG,F,Y_GE18,NUMBER,2023-03-27,
2020,VC_HTF_DETVOG,F,Y0T17,NUMBER,2023-03-27,
2020,VC_HTF_DETVOG,M,Y_GE18,NUMBER,2023-03-27,
2020,VC_HTF_DETVOG,M,Y0T17,NUMBER,2023-03-27,
2018,VC_HTF_DETVOGR,,,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOGR,,,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOGR,F,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOGR,F,Y0T17,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOGR,M,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOGR,M,Y0T17,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOP,,,NUMBER,2023-03-20,
2020,VC_HTF_DETVOP,F,Y_GE18,NUMBER,2023-03-20,
2020,VC_HTF_DETVOP,F,Y0T17,NUMBER,2023-03-20,
2020,VC_HTF_DETVOP,M,Y_GE18,NUMBER,2023-03-20,
2020,VC_HTF_DETVOP,M,Y0T17,NUMBER,2023-03-20,
2020,VC_HTF_DETVOPR,,,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOPR,F,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOPR,F,Y0T17,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOPR,M,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVOPR,M,Y0T17,PER_100000_POP,2023-03-20,
2017,VC_HTF_DETVR,,,PER_100000_POP,2023-03-21,
2018,VC_HTF_DETVR,,,PER_100000_POP,2023-03-21,
2019,VC_HTF_DETVR,,,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,,,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,,Y_GE18,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,,Y0T17,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,F,,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,F,Y_GE18,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,F,Y0T17,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,M,,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,M,Y_GE18,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVR,M,Y0T17,PER_100000_POP,2023-03-21,
2020,VC_HTF_DETVSX,,,NUMBER,2023-03-20,
2020,VC_HTF_DETVSX,F,Y_GE18,NUMBER,2023-03-20,
2020,VC_HTF_DETVSX,F,Y0T17,NUMBER,2023-03-20,
2020,VC_HTF_DETVSX,M,Y_GE18,NUMBER,2023-03-20,
2020,VC_HTF_DETVSX,M,Y0T17,NUMBER,2023-03-20,
2020,VC_HTF_DETVSXR,,,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVSXR,F,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVSXR,F,Y0T17,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVSXR,M,Y_GE18,PER_100000_POP,2023-03-20,
2020,VC_HTF_DETVSXR,M,Y0T17,PER_100000_POP,2023-03-20,
