Year,SERIES,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,CUST_BREAKDOWN_LB,Value
2016,EN_MWT_COLLV,,,T,2023-03-08,,782977.722
2017,EN_MWT_COLLV,,,T,2023-03-08,,732778.442
2016,EN_MWT_EXP,,,T,2023-03-16,,0.0
2017,EN_MWT_EXP,,,T,2023-03-16,,0.0
2016,EN_MWT_IMP,,,T,2023-03-16,,0.0
2017,EN_MWT_IMP,,,T,2023-03-16,,0.0
2016,EN_MWT_RCYV,,,T,2023-03-08,,41139.179
2017,EN_MWT_RCYV,,,T,2023-03-08,,41939.56
2016,EN_MWT_TREATV,,WT_COMPOST,T,2023-03-13,,2849.7
2017,EN_MWT_TREATV,,WT_COMPOST,T,2023-03-13,,3418.0
2016,EN_MWT_TREATV,,WT_INCINRT,T,2023-03-13,,3447.1
2017,EN_MWT_TREATV,,WT_INCINRT,T,2023-03-13,,4426.8
2016,EN_MWT_TREATV,,WT_INCINRT_EGY,T,2023-03-13,,0.0
2017,EN_MWT_TREATV,,WT_INCINRT_EGY,T,2023-03-13,,0.0
2016,EN_MWT_TREATV,,WT_LANDFIL,T,2023-03-13,,0.0
2017,EN_MWT_TREATV,,WT_LANDFIL,T,2023-03-13,,0.0
2016,EN_MWT_TREATV,,WT_LANDFILCTL,T,2023-03-13,,0.0
2017,EN_MWT_TREATV,,WT_LANDFILCTL,T,2023-03-13,,0.0
2016,EN_MWT_TREATV,,WT_OTHERWM,T,2023-03-13,,782977.722
2017,EN_MWT_TREATV,,WT_OTHERWM,T,2023-03-13,,732778.442
2015,EN_REF_WASCOL,C05,,PT,2023-07-07,Harare,22.6
2021,EN_REF_WASCOL,C05,,PT,2023-07-07,Harare,26.0
2018,EN_REF_WASCOL,C07,,PT,2023-07-07,Mbare,30.0
