Year,SERIES,SEX,AGE,DISABILITY_STATUS,DATA_LAST_UPDATE,Value
2004,SL_TLF_UEM,,Y_GE15,,2023-03-20,4.39
2011,SL_TLF_UEM,,Y_GE15,,2023-03-20,5.37
2014,SL_TLF_UEM,,Y_GE15,,2023-03-20,4.77
2019,SL_TLF_UEM,,Y_GE15,,2023-03-20,7.37
2004,SL_TLF_UEM,,Y_GE25,,2023-03-20,2.7
2011,SL_TLF_UEM,,Y_GE25,,2023-03-20,3.9
2014,SL_TLF_UEM,,Y_GE25,,2023-03-20,3.92
2019,SL_TLF_UEM,,Y_GE25,,2023-03-20,5.93
2004,SL_TLF_UEM,,Y15T24,,2023-03-20,7.61
2011,SL_TLF_UEM,,Y15T24,,2023-03-20,8.73
2014,SL_TLF_UEM,,Y15T24,,2023-03-20,6.83
2019,SL_TLF_UEM,,Y15T24,,2023-03-20,11.86
2004,SL_TLF_UEM,F,Y_GE15,,2023-03-20,4.53
2011,SL_TLF_UEM,F,Y_GE15,,2023-03-20,5.99
2014,SL_TLF_UEM,F,Y_GE15,,2023-03-20,5.18
2019,SL_TLF_UEM,F,Y_GE15,,2023-03-20,6.99
2004,SL_TLF_UEM,F,Y_GE25,,2023-03-20,2.66
2011,SL_TLF_UEM,F,Y_GE25,,2023-03-20,4.42
2014,SL_TLF_UEM,F,Y_GE25,,2023-03-20,4.17
2019,SL_TLF_UEM,F,Y_GE25,,2023-03-20,5.48
2004,SL_TLF_UEM,F,Y15T24,,2023-03-20,8.13
2011,SL_TLF_UEM,F,Y15T24,,2023-03-20,9.78
2014,SL_TLF_UEM,F,Y15T24,,2023-03-20,7.81
2019,SL_TLF_UEM,F,Y15T24,,2023-03-20,12.75
2004,SL_TLF_UEM,M,Y_GE15,,2023-03-20,4.26
2011,SL_TLF_UEM,M,Y_GE15,,2023-03-20,4.73
2014,SL_TLF_UEM,M,Y_GE15,,2023-03-20,4.36
2019,SL_TLF_UEM,M,Y_GE15,,2023-03-20,7.76
2004,SL_TLF_UEM,M,Y_GE25,,2023-03-20,2.75
2011,SL_TLF_UEM,M,Y_GE25,,2023-03-20,3.36
2014,SL_TLF_UEM,M,Y_GE25,,2023-03-20,3.65
2019,SL_TLF_UEM,M,Y_GE25,,2023-03-20,6.42
2004,SL_TLF_UEM,M,Y15T24,,2023-03-20,7.13
2011,SL_TLF_UEM,M,Y15T24,,2023-03-20,7.73
2014,SL_TLF_UEM,M,Y15T24,,2023-03-20,5.93
2019,SL_TLF_UEM,M,Y15T24,,2023-03-20,11.19
2019,SL_TLF_UEM_19ICLS,,Y_GE15,,2023-03-17,16.86
2019,SL_TLF_UEM_19ICLS,,Y_GE25,,2023-03-17,13.81
2019,SL_TLF_UEM_19ICLS,,Y15T24,,2023-03-17,27.49
2019,SL_TLF_UEM_19ICLS,F,Y_GE15,,2023-03-17,17.9
2019,SL_TLF_UEM_19ICLS,F,Y_GE25,,2023-03-17,14.54
2019,SL_TLF_UEM_19ICLS,F,Y15T24,,2023-03-17,31.41
2019,SL_TLF_UEM_19ICLS,M,Y_GE15,,2023-03-17,16.04
2019,SL_TLF_UEM_19ICLS,M,Y_GE25,,2023-03-17,13.2
2019,SL_TLF_UEM_19ICLS,M,Y15T24,,2023-03-17,24.97
2014,SL_TLF_UEMDIS,,,,2023-03-17,4.77
2019,SL_TLF_UEMDIS,,,,2023-03-17,7.37
2014,SL_TLF_UEMDIS,,,PD,2023-03-17,3.13
2019,SL_TLF_UEMDIS,,,PD,2023-03-17,5.04
2014,SL_TLF_UEMDIS,,,PWD,2023-03-17,5.08
2019,SL_TLF_UEMDIS,,,PWD,2023-03-17,7.8
2014,SL_TLF_UEMDIS,F,,,2023-03-17,5.18
2019,SL_TLF_UEMDIS,F,,,2023-03-17,6.99
2014,SL_TLF_UEMDIS,F,,PD,2023-03-17,2.94
2019,SL_TLF_UEMDIS,F,,PD,2023-03-17,4.6
2014,SL_TLF_UEMDIS,F,,PWD,2023-03-17,5.63
2019,SL_TLF_UEMDIS,F,,PWD,2023-03-17,7.49
2014,SL_TLF_UEMDIS,M,,,2023-03-17,4.36
2019,SL_TLF_UEMDIS,M,,,2023-03-17,7.76
2014,SL_TLF_UEMDIS,M,,PD,2023-03-17,3.36
2019,SL_TLF_UEMDIS,M,,PD,2023-03-17,5.58
2014,SL_TLF_UEMDIS,M,,PWD,2023-03-17,4.53
2019,SL_TLF_UEMDIS,M,,PWD,2023-03-17,8.11
2019,SL_TLF_UEMDIS_19ICLS,,,,2023-03-17,16.86
2019,SL_TLF_UEMDIS_19ICLS,,,PD,2023-03-17,15.48
2019,SL_TLF_UEMDIS_19ICLS,,,PWD,2023-03-17,17.06
2019,SL_TLF_UEMDIS_19ICLS,F,,,2023-03-17,17.9
2019,SL_TLF_UEMDIS_19ICLS,F,,PD,2023-03-17,17.02
2019,SL_TLF_UEMDIS_19ICLS,F,,PWD,2023-03-17,18.04
2019,SL_TLF_UEMDIS_19ICLS,M,,,2023-03-17,16.04
2019,SL_TLF_UEMDIS_19ICLS,M,,PD,2023-03-17,14.13
2019,SL_TLF_UEMDIS_19ICLS,M,,PWD,2023-03-17,16.3
