Year,SERIES,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2000,SH_ALC_CONSPT,,LITRES_PURE_ALCOHOL,2023-03-15,3.0261
2005,SH_ALC_CONSPT,,LITRES_PURE_ALCOHOL,2023-03-15,2.74545
2010,SH_ALC_CONSPT,,LITRES_PURE_ALCOHOL,2023-03-15,3.31307
2015,SH_ALC_CONSPT,,LITRES_PURE_ALCOHOL,2023-03-15,3.74794
2019,SH_ALC_CONSPT,,LITRES_PURE_ALCOHOL,2023-03-15,3.62809
2000,SH_ALC_CONSPT,F,LITRES_PURE_ALCOHOL,2023-03-15,1.03352
2005,SH_ALC_CONSPT,F,LITRES_PURE_ALCOHOL,2023-03-15,0.93479
2010,SH_ALC_CONSPT,F,LITRES_PURE_ALCOHOL,2023-03-15,1.13291
2015,SH_ALC_CONSPT,F,LITRES_PURE_ALCOHOL,2023-03-15,1.29289
2019,SH_ALC_CONSPT,F,LITRES_PURE_ALCOHOL,2023-03-15,1.24546
2000,SH_ALC_CONSPT,M,LITRES_PURE_ALCOHOL,2023-03-15,5.36074
2005,SH_ALC_CONSPT,M,LITRES_PURE_ALCOHOL,2023-03-15,4.90741
2010,SH_ALC_CONSPT,M,LITRES_PURE_ALCOHOL,2023-03-15,5.96599
2015,SH_ALC_CONSPT,M,LITRES_PURE_ALCOHOL,2023-03-15,6.7417
2019,SH_ALC_CONSPT,M,LITRES_PURE_ALCOHOL,2023-03-15,6.52074
2016,SH_SUD_ALCOL,,PT,2020-07-06,6.4
2016,SH_SUD_ALCOL,F,PT,2020-07-06,2.0
2016,SH_SUD_ALCOL,M,PT,2020-07-06,11.1
