Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
1977,0.0255,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1978,1.23954,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1979,-1.0899,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1980,-2.23444,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1981,-6.8084,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1982,-7.39398,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1983,-5.11873,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1984,-0.67439,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1985,-1.13688,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1986,0.26951,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1987,0.85917,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1988,1.60118,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1989,0.2041,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1990,-1.5902,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1991,-5.28175,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1992,-8.93125,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1993,-1.76159,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
1994,-6.15945,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2009,-7.55726,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2010,-13.74716,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2011,-19.49747,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2012,-13.30762,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2013,-13.87438,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2014,-11.97115,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2015,-7.9981,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2016,-3.39414,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2017,-1.54218,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2018,-4.03918,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2019,4.21611,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2020,5.09658,PT,BN_CAB_XOKA_GD_ZS,2023-03-10
2021,270.0,NUMBER,SG_GEN_PARLNT,2023-03-03
2022,265.0,NUMBER,SG_GEN_PARLNT,2023-03-03
2023,265.0,NUMBER,SG_GEN_PARLNT,2023-03-03
