Value,Disaggregation combinations using this value,Number of indicators
ABT2_ACHIEVE,1,1
DL_EXTREME,2,1
DL_HIGH,2,1
DL_LOW,2,1
DL_MEDIUM,2,1
FWS_HHS,2,1
FWS_OOHC,2,1
FWS_RTL,2,1
GRD_AGE,15,1
GRD_DIS,15,1
GRD_ETHI,15,1
GRD_MARFAM,15,1
GRD_OTHER,15,1
GRD_POLVIEW,15,1
GRD_PREGY,5,1
GRD_RELIGION,15,1
GRD_SEX,15,1
GRD_WEDLOCK,15,1
IHR_01,1,1
IHR_02,1,1
IHR_03,1,1
IHR_04,1,1
IHR_05,1,1
IHR_06,1,1
IHR_07,1,1
IHR_08,1,1
IHR_09,1,1
IHR_10,1,1
IHR_11,1,1
IHR_12,1,1
IHR_13,1,1
IO_AFDB,2,1
IO_ECOSOC,2,1
IO_IBRD,2,1
IO_IFC,2,1
IO_IMF,2,1
IO_UNGA,2,1
IO_WTO,2,1
IS_256KT2M,2,1
IS_2MT10M,2,1
IS_GE10M,2,1
LC_ART,6,1
LC_CRP,6,1
LC_GRS,6,1
LC_IWB,6,1
LC_MGCI,6,1
LC_PSG,6,1
LC_SAF,6,1
LC_SHR,6,1
LC_SNV,6,1
LC_TBL,6,1
LC_TRE,6,1
NCD_CARDIO,3,1
NCD_CNCR,3,1
NCD_CRESPD,3,1
NCD_DIABTS,3,1
PC_DEFENCE,2,1
PC_FINANCE,2,1
PC_FOR_AFF,2,1
PC_GEN_EQU,2,1
PC_HUM_RIGH,2,1
PD_1,1,1
PD_2,1,1
PD_3,1,1
PD_4,1,1
PD_5,1,1
PD_6,1,1
SKILL_ICTATCH,22,2
SKILL_ICTCDV,22,2
SKILL_ICTCMFL,21,2
SKILL_ICTCPT,22,2
SKILL_ICTPRGM,19,2
SKILL_ICTPRVCY,21,2
SKILL_ICTPST,22,2
SKILL_ICTSCRTY,21,2
SKILL_ICTSFWR,22,2
SKILL_ICTSSHT,22,2
SKILL_ICTTRFF,22,2
SKILL_MATH,6,2
SKILL_READ,6,2
SPAR2_C01,1,1
SPAR2_C02,1,1
SPAR2_C03,1,1
SPAR2_C04,1,1
SPAR2_C05,1,1
SPAR2_C06,1,1
SPAR2_C07,1,1
SPAR2_C08,1,1
SPAR2_C09,1,1
SPAR2_C10,1,1
SPAR2_C11,1,1
SPAR2_C12,1,1
SPAR2_C13,1,1
SPAR2_C14,1,1
SPAR2_C15,1,1
SPAR_01,1,1
SPAR_02,1,1
SPAR_03,1,1
SPAR_04,1,1
SPAR_05,1,1
SPAR_06,1,1
SPAR_07,1,1
SPAR_08,1,1
SPAR_09,1,1
SPAR_10,1,1
SPAR_11,1,1
SPAR_12,1,1
SPAR_13,1,1
TRT_BIOENERGY,2,2
TRT_GEOTHERMAL,1,1
TRT_HYDROPOWER,2,2
TRT_MARINE,1,1
TRT_MULTIPLE,1,1
TRT_SOLAR,2,2
TRT_WIND,1,1
WT_COMPOST,1,1
WT_INCINRT,1,1
WT_INCINRT_EGY,1,1
WT_LANDFIL,1,1
WT_LANDFILCTL,1,1
WT_OTHERWM,1,1
